Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"During a [time_of_day] arrest of a combative [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect in a case, the officer witnesses their partner use excessive force. After the suspect was handcuffed and no longer resisting, the [officer1_age]-year-old [officer1_gender] [officer2_race] partner struck the suspect out of anger, causing a visible injury. Later, the partner pressures the officer to leave that detail out of the incident report, saying, “We don’t need Internal Affairs sniffing around. Just say they fell or something.” The officer knows that omitting or covering up this misconduct would violate department integrity policies and their own ethical standards. However, reporting it could get their partner in serious trouble and create tension in the unit. The officer must decide how to handle the situation.","The officer refuses to cover up the misconduct and documents everything accurately, including the partner’s unnecessary use of force. They inform a supervisor, accepting any professional consequences for prioritizing integrity and honesty.","Anxious about the conflict and fearing retaliation, the officer omits the partner’s strike in the report, writing a vague account of the injury. Despite the relief of avoiding direct confrontation, they feel guilty about not being truthful.","The officer confronts their partner immediately, insisting that the misconduct will be reported and giving them the chance to self-report. If the partner refuses, the officer takes responsibility for reporting the incident on their own, being assertive and direct.","The officer feels uncomfortable but chooses to handle the situation informally, warning their partner privately and omitting the strike from the report. They hope the conversation prevents future misconduct without escalating the issue.","The officer strictly follows department policy, documenting the excessive force and forwarding the report up the chain of command. They immediately notify Internal Affairs, adhering to regulations and ethical conduct regardless of the personal implications.","The officer seeks advice from a mentor to navigate the situation, then urges the partner to self-report the incident. They aim to find a balanced approach that allows the partner to take responsibility while still upholding integrity.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At [time_of_day], the officer pulls over a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] driver age for speeding. As the officer starts writing the ticket, the driver, seeming worried, casually pulls out a couple of $100 bills and offers them to the officer with a wink, saying, “How about we settle this right here, officer? No need for paperwork.” It’s a clear bribe attempt to avoid the citation. Accepting it would be not only a violation of policy but also a crime. The officer must respond to this unethical offer.","The officer firmly refuses the bribe, explains to the driver that bribery is illegal, and continues issuing the speeding ticket. They report the incident to their supervisor afterward, maintaining transparency and upholding the law.","Startled and anxious, the officer quickly refuses the bribe and hastily finishes the citation, feeling rattled. They worry about handling the situation correctly, replaying the moment in their mind after the stop.","The officer asserts their authority, clearly addressing the bribery attempt in front of any recording devices, and ensures the incident is documented. They may call for a supervisor and consider adding charges for the bribe on top of the ticket.","The officer politely declines the bribe, maintains a calm and respectful tone, and issues the speeding ticket without further confrontation. They choose not to escalate the situation, hoping the driver learns from the experience.","The officer follows procedure strictly, refusing the bribe and documenting all details of the attempt. They report the incident to dispatch and proceed with legal action, such as arresting or citing the driver for bribery, alongside the speeding ticket.","The officer calmly explains to the driver that bribery is a bigger issue than the speeding fine, offering a lesson on the consequences. They issue the ticket normally, hoping to educate the driver while maintaining integrity and avoiding confrontation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While investigating a welfare check at a residence, the officer finds a wallet on the ground that appears unrelated to the incident. It contains no ID but has several hundred dollars in cash. No one at the scene claims it. According to policy, the officer should log the wallet and cash into evidence or the lost-and-found property system. It would be easy to pocket some or all of the cash without anyone knowing, since it’s unaccounted for. The officer momentarily thinks about the personal benefit they could gain from the money, then considers their duty and honesty. They must decide what to do with the found cash.","The officer counts the cash in front of their patrol car camera for transparency, securely bags it as evidence, and documents the transaction. They submit the wallet and cash to the property room, adhering to integrity and never considering personal gain.","Feeling guilty and anxious about the temptation, the officer double-checks the money and logs it with great care, ensuring everything matches. They hand over the full amount, relieved but shaken by the internal conflict.","The officer openly shows the wallet and cash to a colleague and makes a light-hearted comment to dispel any temptation. They quickly secure the money and demonstrate transparency, neutralizing any personal temptation in front of others.","Empathizing with the potential owner, the officer carefully logs and submits the wallet and cash, checking for a lost-property report. They feel that taking the money would be morally wrong and follow through to ensure it’s returned.","The officer strictly follows protocol, documenting every detail and submitting the wallet and cash to the property section. They maintain their usual high standards of integrity and professionalism without hesitation or doubt.","The officer creatively seeks to return the lost wallet by canvassing nearby areas and posting a notice, in addition to submitting the wallet and money. They go beyond protocol to ensure the rightful owner has a chance to reclaim the property.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a chaotic [time_of_day] arrest involving a bar fight, the officer had to use a Taser and deliver a few strikes to subdue a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect who was violently resisting. The suspect sustained some bruises and a black eye. Later, as the officer writes the use-of-force report, they realize fully detailing every action (Taser use, strikes, etc.) will trigger an extensive review and lots of questions, even though the force was arguably justified. The officer knows some colleagues sometimes write reports in a way that downplays or omits contentious details to avoid scrutiny. The officer must decide whether to write a completely candid report of their use of force, or to frame it in a way that glosses over the more severe actions to make the process smoother.","The officer writes a detailed and accurate report, including every use of force, and submits it without downplaying the actions. They prefer to face scrutiny with transparency rather than omit any critical details.","The officer, worried about potential scrutiny, writes a vague report, leaving out specific details about the Taser and the strikes. Though relieved in the short term, they feel uneasy about not being completely transparent.","The officer documents the incident thoroughly and attaches body-cam footage to support the report. They confidently explain their actions to their supervisor, showing openness and readiness to justify their decisions.",The officer writes a report that includes the necessary details but frames the situation in a way that emphasizes the suspect’s aggression and the officer's restraint. They aim to present the force used in a more defensible light without omitting key facts.,"The officer follows policy by including all relevant details in the report and attaching supporting evidence, ensuring a full and accurate account of the use of force. They value complete transparency, accepting the review process as part of their responsibility.","The officer provides a truthful account and adds context to explain their decision-making, including reflections on the failed de-escalation attempts. This extra narrative offers insight into their thinking, aiming for a fair evaluation of their actions.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"On a day off, the officer receives a call from a close family friend. The friend’s [suspect1_age]-year-old [suspect1_gender] [suspect1_race] son was caught driving without a valid license and got a citation from another officer earlier that day. The friend is upset and asks the officer if they can “talk to” the officer who issued the ticket or otherwise use their influence to get the charge dropped, given their personal connection. Essentially, the friend is asking for a favor that would compromise the impartiality of law enforcement. The officer must decide how to handle this request from someone close to them: whether to refuse and uphold the law equally, try to intervene as a personal favor, or some middle ground.","The officer calmly explains to their friend that they cannot interfere with another officer’s case, emphasizing that it would be unethical. They suggest legal options for the son, offering sympathy and advice but refusing to use their influence to alter the situation.","Torn between loyalty and integrity, the officer hesitantly tells their friend they will ""see what I can do,"" but ultimately does not intervene. They placate the friend with the hope of avoiding conflict, but later regret not standing firm from the beginning.","The officer firmly but kindly refuses the favor, explaining it’s not allowed, while using social skills to reassure their friend. They offer to help the son in a constructive way, such as discussing safe driving or offering court support, keeping the friendship intact while upholding the law.","The officer sympathetically explains to their friend that they can’t interfere, sharing a personal story about learning from mistakes. They offer support in other ways, like helping the son study for his license test, while politely maintaining that they can’t alter the ticket.","The officer immediately and firmly refuses the favor, emphasizing their duty to uphold the law and quoting policy or ethical standards. They respectfully end the conversation to avoid further pressure, prioritizing integrity even if it strains the friendship.","The officer declines to interfere with the ticket but offers other support, such as mentoring the friend’s son on safe driving or suggesting constructive alternatives like community service. They turn the situation into a learning opportunity while respecting ethical boundaries.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"The officer is at an off-duty gathering when they notice a [officer1_age]-year-old [officer1_gender] [officer1_race] colleague, who is also a friend, has had several drinks and is visibly intoxicated. Later, the colleague insists on driving home. The officer urges them not to, but the colleague jokes, “Come on, we’re both cops. If I get stopped, I know you’ll cover for me.” The colleague is effectively expecting professional courtesy to avoid a DUI if something happens. The officer must choose whether to intervene to stop the friend from driving drunk, and possibly risk the friendship or anger them, and how to respond to the implication that they should cover up any potential DUI incident because of loyalty.","The officer firmly refuses to let their friend drive, taking their keys and ensuring they get home safely through another means. They make it clear they would never cover for a DUI, prioritizing safety and integrity over maintaining the friendship.","Distressed and fearful of confrontation, the officer hesitates to physically stop their friend but is plagued with worry after they leave. They consider anonymously reporting the potential DUI and spend the night anxiously waiting to ensure their friend's safety.","The officer assertively intervenes, loudly stopping their friend from driving and enlisting others at the gathering to help. They firmly take charge, even threatening to call it in, ensuring the friend doesn’t drive while keeping the situation under control.","With gentle concern, the officer calmly explains they can’t let their friend drive and offers alternative solutions, like driving them home or letting them stay at their place. They focus on taking care of the friend without confrontation, ensuring they are safe.","The officer firmly states that they will intervene and call in a DUI if the friend attempts to drive, reminding them of their duty as officers. They remain serious, willing to take action and ensure safety, regardless of the personal relationship.","The officer creatively delays the friend’s departure, suggesting a meal to sober up and arranging for someone else to pick them up. They avoid direct confrontation, solving the issue indirectly while ensuring the friend does not drive drunk.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While on patrol, the officer’s partner spots a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] individual walking in an affluent neighborhood and remarks, “They look out of place; probably up to no good.” There have been no calls or reports – the person is just walking. The partner, acting on this hunch, wants to stop and question the individual for suspicious behavior based solely on their appearance. The officer feels this is a biased and unjustified stop. They must decide whether to challenge their partner’s actions or go along with it, and how to handle the situation in a way that upholds fair policing values without causing an unnecessary rift.","The officer immediately objects, refusing to be part of the biased stop and makes it clear to the partner that the individual has not given any reason for suspicion. They remain professional during the stop, ensuring it's brief, and afterward, they assertively remind their partner that such profiling is not acceptable.","The officer reluctantly goes along with the stop, feeling uncomfortable but not voicing their concerns. They try to quickly resolve the situation with a friendly tone and feel guilty afterward for not speaking up more firmly about the unjustified stop.","The officer confidently questions the partner’s decision, suggesting in a light and casual manner that they avoid making the stop. They use social charm to guide the partner away from unnecessary action without causing tension, ensuring the situation stays calm and reasonable.","The officer gently suggests avoiding the stop, offering a soft, non-accusatory remark to encourage the partner to reconsider. If the stop proceeds, the officer remains respectful and plans to address their concerns privately later, avoiding direct conflict in the moment.","The officer immediately refers to department policy and legal requirements, stating that a stop without reasonable suspicion could violate the individual's rights. They firmly refuse to conduct the stop, knowing the legal and procedural risks involved, and are prepared to involve a supervisor if necessary.","The officer suggests a non-confrontational approach, proposing they casually greet the individual without making a formal stop. By treating the person kindly, they satisfy their partner’s curiosity while avoiding any unjustified detention, turning the situation into a positive community interaction.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"A local [officer1_age]-year-old [officer1_gender] [officer1_race] coffee shop owner frequently offers the officer free coffee and snacks when they stop by on patrol, as a gesture of appreciation. One [time_of_day], the owner mentions they’ve been having trouble with loitering [suspect1_age]-year-old [suspect1_gender] [suspect1_race] people at closing time and subtly hints that they’d like the officer to swing by more often at nights. Department policy discourages officers from accepting significant freebies, as it can create a sense of obligation or favoritism. The officer realizes that continuing to accept the free items might make them feel expected to provide extra patrol to the shop, potentially at the expense of other duties. The officer must decide how to handle the owner’s ongoing generosity and request without compromising fairness or appearing ungrateful.","The officer politely refuses further free items, explaining that they prefer to pay for their coffee and can’t guarantee extra patrols beyond their regular duties. They maintain professionalism and set realistic expectations while ensuring the relationship remains cordial.","The officer continues accepting the free items to avoid disappointing the owner, even going out of their way to check on the shop at closing time. They feel a sense of obligation but rationalize that it's harmless, though they’re aware of the potential impact on their duties.","The officer directly addresses the situation with the owner, explaining that they can’t play favorites and will only help during their normal shifts. They suggest the owner file an official report, ensuring any action is formal and part of their regular responsibilities.","The officer continues accepting small free items but does not explicitly promise extra patrols, instead offering a little extra attention to the shop during regular patrols. They aim to maintain a positive relationship while still responding to their primary duties.","The officer politely refuses the freebies and suggests the owner report loitering concerns through official channels. They keep the relationship professional, treating the request just like any other citizen’s issue without taking on additional personal obligations.","The officer proposes a “Coffee with a Cop” event to formally engage with the community, including the shop owner’s concerns in a broader context. They rotate their coffee stops to avoid favoritism, ensuring a balanced and creative approach to community engagement.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a [time_of_day] traffic stop, the officer smells a faint odor of marijuana coming from the [suspect1_age]-year-old [suspect1_gender] [suspect1_race] driver’s car. The driver looks nervous. The law requires either consent or probable cause for a search. The driver refuses consent when asked. The officer’s partner quietly suggests, “We could say we saw a blunt or a weapon, then we’d have cause to search.” The partner is essentially proposing they fabricate a justification to conduct a search, assuming there are drugs inside. The officer knows this would be illegal and unethical, even if it might lead to finding contraband. They must respond to the partner’s suggestion and decide how to proceed with the stop in a lawful manner.","The officer immediately rejects the idea of fabricating a reason to search, opting for a lawful course of action such as calling in a K9 unit or issuing a citation if no further probable cause arises. They prioritize integrity and legality, ensuring they follow proper procedure despite the temptation.","The officer hesitates and feels uncomfortable but doesn’t confront the partner directly. They passively allow the search to proceed, later feeling guilty and regretful for not speaking up against the unethical suggestion.","The officer takes charge of the situation, confidently asserting that they won’t engage in fabricating evidence. They attempt to gain lawful compliance through conversation and clear communication, using their leadership skills to guide the stop within legal boundaries.","The officer quietly discourages the partner’s suggestion, gently suggesting an alternative like issuing the citation and monitoring the driver later. They keep the situation calm and professional, avoiding confrontation while still adhering to legal standards.","The officer firmly states that falsifying evidence is unacceptable, emphasizing the serious consequences for doing so. They stick to procedure, either calling for a K9 unit or handling the stop according to policy, ensuring no illegal actions take place.","The officer uses a creative but legal approach, attempting to gain consent for a limited search or engaging the driver in casual conversation to assess the situation. They avoid fabricating a story, using smart observation and conversation to handle the stop without violating any rights.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"The officer is testifying in court about an arrest they made during a street fight. The [suspect1_age]-year-old [suspect1_gender] [suspect1_race] defendant is accused of starting the fight. On the stand, the defense attorney asks the officer, “Did you actually see my client throw the first punch?” In truth, when the officer arrived, the fight was already in progress; they did not directly see who started it. The officer strongly believes the defendant was the aggressor based on witness statements and the situation, and they know the case could fall apart without clear testimony on that point. The prosecutor subtly hopes the officer will testify in a way that implicates the defendant as the initiator. The officer faces pressure to help secure a conviction of someone they think is guilty, but also must tell “the whole truth and nothing but the truth” under oath. They must decide how to answer.","The officer answers truthfully, stating that they did not see who threw the first punch, and only testifies to what they directly observed. They remain committed to honesty, even if it weakens the case, prioritizing integrity and credibility over securing a conviction.","Nervous about the situation, the officer hedges their answer, implying the defendant was the aggressor, but eventually admits they did not see the first punch. They feel guilty about not being fully honest but manage to avoid outright lying.","The officer confidently states that they did not see the first punch but emphasizes the facts they know, such as the defendant actively throwing punches when they arrived. They maintain credibility by being honest and presenting all supporting evidence, even if it means the prosecution has to rely on other evidence.","The officer answers truthfully, acknowledging they did not see the first punch, but emphasizes their perspective that the defendant was the aggressor based on the totality of the circumstances. They balance honesty with an effort to support the prosecution in a constructive and respectful manner.","The officer provides a strict, factual response, confirming that they did not see the first punch. They remain neutral, offering only the specific details of their involvement and leaving the rest to the attorneys and other evidence, sticking to the facts.","The officer provides a truthful, descriptive answer, painting a picture of the scene while clarifying they did not see the first punch. They creatively convey the defendant's role in the fight without fabricating any details, ensuring their answer is both honest and effective in communicating the situation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
