Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"During a {{ time_of_day }} arrest of a combative {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} suspect in a case, you witness your partner use excessive force. After the suspect is handcuffed and no longer resisting, your {{ officer1_age }}-year-old {{ officer1_gender }} {{ officer2_race }} partner strikes the suspect out of anger, causing a visible injury. Later, your partner pressures you to leave that detail out of the incident report, saying, “We don’t need Internal Affairs sniffing around. Just say they fell or something.” You know that omitting or covering up this misconduct would violate department integrity policies and your own ethical standards. However, reporting it could get your partner in serious trouble and create tension in the unit. You must decide how to handle the situation.","You refuse to cover up the misconduct and document everything accurately, including your partner’s unnecessary use of force. You inform a supervisor, accepting any professional consequences for prioritizing integrity and honesty.","Anxious about the conflict and fearing retaliation, you omit your partner’s strike in the report, writing a vague account of the injury. Despite the relief of avoiding direct confrontation, you feel guilty about not being truthful.","You confront your partner immediately, insisting that the misconduct will be reported and giving them the chance to self-report. If they refuse, you take responsibility for reporting the incident on your own, being assertive and direct.","You feel uncomfortable but choose to handle the situation informally, warning your partner privately and omitting the strike from the report. You hope the conversation prevents future misconduct without escalating the issue.","You strictly follow department policy, documenting the excessive force and forwarding the report up the chain of command. You immediately notify Internal Affairs, adhering to regulations and ethical conduct regardless of the personal implications.","You seek advice from a mentor to navigate the situation, then urge your partner to self-report the incident. You aim to find a balanced approach that allows them to take responsibility while still upholding integrity.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At {{ time_of_day }}, you pull over a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} driver for speeding. As you start writing the ticket, the driver, looking worried, casually pulls out a couple of $100 bills and offers them to you with a wink, saying, “How about we settle this right here, officer? No need for paperwork.” It’s a clear bribe attempt to avoid the citation. Accepting it would be not only a violation of policy but also a crime. You must respond to this unethical offer.","You firmly refuse the bribe, explain to the driver that bribery is illegal, and continue issuing the speeding ticket. You report the incident to your supervisor afterward, maintaining transparency and upholding the law.","Startled and anxious, you quickly refuse the bribe and hastily finish the citation, feeling rattled. You worry about handling the situation correctly, replaying the moment in your mind after the stop.","You assert your authority, clearly addressing the bribery attempt in front of any recording devices, and ensure the incident is documented. You may call for a supervisor and consider adding charges for the bribe on top of the ticket.","You politely decline the bribe, maintain a calm and respectful tone, and issue the speeding ticket without further confrontation. You choose not to escalate the situation, hoping the driver learns from the experience.","You follow procedure strictly, refusing the bribe and documenting all details of the attempt. You report the incident to dispatch and proceed with legal action, such as arresting or citing the driver for bribery, alongside the speeding ticket.","You calmly explain to the driver that bribery is a bigger issue than the speeding fine, offering a lesson on the consequences. You issue the ticket normally, hoping to educate the driver while maintaining integrity and avoiding confrontation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While investigating a welfare check at a residence, you find a wallet on the ground that appears unrelated to the incident. It contains no ID but has several hundred dollars in cash. No one at the scene claims it. According to policy, you should log the wallet and cash into evidence or the lost-and-found property system. It would be easy to pocket some or all of the cash without anyone knowing, since it’s unaccounted for. You momentarily think about the personal benefit you could gain from the money, then consider your duty and honesty. You must decide what to do with the found cash.","You count the cash in front of your patrol car camera for transparency, securely bag it as evidence, and document the transaction. You submit the wallet and cash to the property room, adhering to integrity and never considering personal gain.","Feeling guilty and anxious about the temptation, you double-check the money and log it with great care, ensuring everything matches. You hand over the full amount, relieved but shaken by the internal conflict.","You openly show the wallet and cash to a colleague and make a light-hearted comment to dispel any temptation. You quickly secure the money and demonstrate transparency, neutralizing any personal temptation in front of others.","Empathizing with the potential owner, you carefully log and submit the wallet and cash, checking for a lost-property report. You feel that taking the money would be morally wrong and follow through to ensure it’s returned.","You strictly follow protocol, documenting every detail and submitting the wallet and cash to the property section. You maintain your usual high standards of integrity and professionalism without hesitation or doubt.","You creatively seek to return the lost wallet by canvassing nearby areas and posting a notice, in addition to submitting the wallet and money. You go beyond protocol to ensure the rightful owner has a chance to reclaim the property.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a chaotic {{ time_of_day }} arrest involving a bar fight, you had to use a Taser and deliver a few strikes to subdue a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} suspect who is violently resisting. The suspect sustains some bruises and a black eye. Later, as you write the use-of-force report, you realize fully detailing every action (Taser use, strikes, etc.) will trigger an extensive review and lots of questions, even though the force was arguably justified. You know some colleagues sometimes write reports in a way that downplays or omits contentious details to avoid scrutiny. You must decide whether to write a completely candid report of your use of force, or to frame it in a way that glosses over the more severe actions to make the process smoother.","You write a detailed and accurate report, including every use of force, and submit it without downplaying your actions. You prefer to face scrutiny with transparency rather than omit any critical details.","Worried about potential scrutiny, you write a vague report, leaving out specific details about the Taser and the strikes. Though relieved in the short term, you feel uneasy about not being completely transparent.","You document the incident thoroughly and attach body-cam footage to support the report. You confidently explain your actions to your supervisor, showing openness and readiness to justify your decisions.",You write a report that includes the necessary details but frame the situation in a way that emphasizes the suspect’s aggression and your restraint. You aim to present the force used in a more defensible light without omitting key facts.,"You follow policy by including all relevant details in the report and attaching supporting evidence, ensuring a full and accurate account of the use of force. You value complete transparency, accepting the review process as part of your responsibility.","You provide a truthful account and add context to explain your decision-making, including reflections on the failed de-escalation attempts. This extra narrative offers insight into your thinking, aiming for a fair evaluation of your actions.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"On a day off, you receive a call from a close family friend. Their {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} son was caught driving without a valid license and got a citation from another officer earlier that day. The friend is upset and asks if you can “talk to” the officer who issued the ticket or otherwise use your influence to get the charge dropped, given your personal connection. Essentially, they are asking for a favor that would compromise the impartiality of law enforcement. You must decide how to handle this request from someone close to you: whether to refuse and uphold the law equally, try to intervene as a personal favor, or find some middle ground.","You calmly explain to your friend that you cannot interfere with another officer’s case, emphasizing that it would be unethical. You suggest legal options for their son, offering sympathy and advice but refusing to use your influence to alter the situation.","Torn between loyalty and integrity, you hesitantly tell your friend you will ""see what I can do,"" but ultimately do not intervene. You placate them with the hope of avoiding conflict, but later regret not standing firm from the beginning.","You firmly but kindly refuse the favor, explaining it’s not allowed, while using social skills to reassure your friend. You offer to help their son in a constructive way, such as discussing safe driving or offering court support, keeping the friendship intact while upholding the law.","You sympathetically explain to your friend that you can’t interfere, sharing a personal story about learning from mistakes. You offer support in other ways, like helping their son study for his license test, while politely maintaining that you can’t alter the ticket.","You immediately and firmly refuse the favor, emphasizing your duty to uphold the law and quoting policy or ethical standards. You respectfully end the conversation to avoid further pressure, prioritizing integrity even if it strains the friendship.","You decline to interfere with the ticket but offer other support, such as mentoring your friend’s son on safe driving or suggesting constructive alternatives like community service. You turn the situation into a learning opportunity while respecting ethical boundaries.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You’re at an off-duty gathering when you notice your {{ officer1_age }}-year-old {{ officer1_gender }} {{ officer1_race }} colleague, who is also a friend, has had several drinks and is visibly intoxicated. Later, your colleague insists on driving home. You urge them not to, but they joke, “Come on, we’re both cops. If I get stopped, I know you’ll cover for me.” They’re essentially expecting professional courtesy to avoid a DUI if something happens. You must choose whether to intervene to stop your friend from driving drunk—risking your friendship or angering them—and how to respond to the implication that you should cover up any potential DUI incident out of loyalty.","You firmly refuse to let your friend drive, take their keys, and make sure they get home safely through another means. You make it clear you would never cover for a DUI, prioritizing safety and integrity over friendship.","Distressed and fearful of confrontation, you hesitate to physically stop your friend but are plagued with worry after they leave. You consider anonymously reporting the potential DUI and spend the night anxiously waiting for news of their safety.","You assertively intervene, loudly stopping your friend from driving and enlisting others at the gathering to help. You take charge, even threatening to call it in, ensuring they don’t drive while keeping the situation under control.","With gentle concern, you calmly explain you can’t let them drive and offer alternatives, like driving them home yourself or letting them stay at your place. You focus on caring for your friend without confrontation, while still ensuring they’re safe.","You firmly state that you will intervene and call in a DUI if they attempt to drive, reminding them of your duty as an officer. You remain serious and resolute, willing to take action to ensure safety, regardless of the personal relationship.","You creatively delay your friend’s departure, suggesting a meal to help them sober up and arranging for someone else to pick them up. You avoid direct confrontation, solving the issue indirectly while still preventing them from driving drunk.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While on patrol, your partner spots a {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} individual walking in an affluent neighborhood and remarks, “They look out of place; probably up to no good.” There have been no calls or reports – the person is simply walking. Acting only on this hunch, your partner wants to stop and question the individual for suspicious behavior based solely on their appearance. You feel this is a biased and unjustified stop. You must decide whether to challenge your partner’s actions or go along with them, and how to handle the situation in a way that upholds fair policing values without creating unnecessary conflict.","You immediately object, refusing to take part in the biased stop, and make it clear to your partner that the individual has given no reason for suspicion. You remain professional during the encounter, keeping it brief, and afterward you assertively remind your partner that profiling is unacceptable.","You reluctantly go along with the stop, feeling uncomfortable but not voicing your concerns. You try to resolve the situation quickly with a friendly tone, but afterward you feel guilty for not speaking up more firmly about the unjustified stop.","You confidently question your partner’s decision, suggesting in a casual, lighthearted way that making the stop isn’t necessary. You use social tact to steer your partner away from unnecessary action, keeping the situation calm and avoiding conflict.","You gently suggest avoiding the stop, offering a soft, non-accusatory remark to encourage your partner to reconsider. If the stop happens anyway, you stay respectful and plan to raise your concerns privately later, avoiding direct confrontation in the moment.","You immediately cite department policy and legal requirements, pointing out that a stop without reasonable suspicion could violate the individual’s rights. You firmly refuse to conduct the stop, knowing the legal and procedural risks, and prepare to involve a supervisor if needed.","You propose a non-confrontational alternative: casually greeting the individual without making a formal stop. By treating them kindly, you satisfy your partner’s curiosity while avoiding any unjustified detention, turning the situation into a positive community interaction.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"A local {{ officer1_age }}-year-old {{ officer1_gender }} {{ officer1_race }} coffee shop owner frequently offers you free coffee and snacks when you stop by on patrol, as a gesture of appreciation. One {{ time_of_day }}, the owner mentions they’ve been having trouble with loitering {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} people at closing time and subtly hints that they’d like you to swing by more often at night. Department policy discourages officers from accepting significant freebies, since it can create a sense of obligation or favoritism. You realize that continuing to accept the free items might make you feel expected to provide extra patrol to the shop, potentially at the expense of your other duties. You must decide how to handle the owner’s ongoing generosity and request without compromising fairness or appearing ungrateful.","You politely refuse further free items, explaining that you prefer to pay for your coffee and can’t guarantee extra patrols beyond your regular duties. You stay professional and set realistic expectations while keeping the relationship cordial.","You continue accepting the free items to avoid disappointing the owner, even going out of your way to check on the shop at closing time. You feel obligated but rationalize that it’s harmless, even though you’re aware it could affect your duties.","You directly address the situation with the owner, making it clear you can’t play favorites and will only help during your normal shifts. You suggest they file an official report, ensuring any action is formal and part of your responsibilities.","You continue accepting small free items but avoid making promises about extra patrols, simply giving the shop a little extra attention during your regular rounds. You try to balance maintaining goodwill with fulfilling your broader duties.","You politely refuse the freebies and suggest the owner report loitering concerns through official channels. You keep the relationship professional, treating the request like any other citizen’s issue without taking on added obligations.","You propose a “Coffee with a Cop” event to formally engage the community, using the shop owner’s concerns as part of a broader conversation. You also rotate your coffee stops to avoid favoritism, ensuring a fair and creative approach to community engagement.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a {{ time_of_day }} traffic stop, you smell a faint odor of marijuana coming from the {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} driver’s car. The driver looks nervous. The law requires either consent or probable cause for a search. When you ask for consent, the driver refuses. Your partner quietly suggests, “We could say we saw a blunt or a weapon, then we’d have cause to search.” Essentially, your partner is proposing to fabricate a justification for a search, assuming there are drugs inside. You know this would be illegal and unethical, even if it might lead to finding contraband. You must decide how to respond to your partner’s suggestion and how to proceed with the stop lawfully.","You immediately reject the idea of fabricating a reason to search and instead follow a lawful course of action, such as calling in a K9 unit or issuing a citation if no further probable cause arises. You prioritize integrity and proper procedure over temptation.","You hesitate and feel uncomfortable but don’t confront your partner directly. You allow the search to proceed passively, later feeling guilty and regretful for not standing up against the unethical action.","You take charge of the situation, confidently stating that you won’t fabricate evidence. You work to gain lawful compliance through conversation and clear communication, guiding the stop within legal boundaries.","You quietly discourage your partner’s idea, gently suggesting alternatives like issuing a citation or monitoring the driver later. You keep the exchange calm and professional, avoiding conflict while still upholding legal standards.","You firmly declare that falsifying evidence is unacceptable, reminding your partner of the serious consequences. You stick to procedure, whether by calling in a K9 unit or resolving the stop according to policy, ensuring no illegal actions occur.","You look for a creative but legal approach, such as attempting to gain consent for a limited search or engaging the driver in casual conversation to assess the situation further. You rely on observation and communication, not fabrication, to handle the stop.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You are testifying in court about an arrest you made during a street fight. The {{ suspect1_age }}-year-old {{ suspect1_gender }} {{ suspect1_race }} defendant is accused of starting the fight. On the stand, the defense attorney asks you, “Did you actually see my client throw the first punch?” In truth, when you arrived, the fight was already in progress; you did not directly see who started it. You strongly believe the defendant was the aggressor based on witness statements and the circumstances, and you know the case could fall apart without clear testimony on that point. The prosecutor subtly hopes you will testify in a way that implicates the defendant as the initiator. You face pressure to help secure a conviction of someone you think is guilty, but you are also sworn to tell “the whole truth and nothing but the truth.” You must decide how to answer.","You answer truthfully, stating that you did not see who threw the first punch, and only testify to what you directly observed. You remain committed to honesty, even if it weakens the case, prioritizing integrity and credibility over conviction.","Nervous about the situation, you hedge your answer, implying the defendant was the aggressor, but eventually admit you did not see the first punch. You avoid outright lying, but you feel guilty for not being fully honest.","You confidently state that you did not see the first punch but emphasize what you did witness, such as the defendant actively throwing punches when you arrived. You maintain credibility by being honest while presenting all supporting facts, leaving the prosecution to build from there.","You answer truthfully, acknowledging you did not see the first punch, but emphasize your perspective that the defendant appeared to be the aggressor based on the totality of the circumstances. You balance honesty with constructive support for the prosecution.","You provide a strict, factual response, confirming you did not see the first punch. You remain neutral, offering only the specific details of your direct involvement and leaving interpretation to the attorneys and other evidence.","You provide a truthful, descriptive answer, painting a clear picture of the scene while clarifying you did not see the first punch. You convey the defendant’s role in the fight without fabricating details, ensuring your testimony is both honest and effective.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
