Question,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 1 Trait,Option 2 Trait,Option 3 Trait,Option 4 Trait,Option 5 Trait,Option 6 Trait
"During a [time_of_day] arrest of a combative [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect, you witness your partner use excessive force. Neither of you have turned on your body camera yet. After the suspect is handcuffed and no longer resisting, your [age]-year-old [gender] [race] partner strikes the suspect, causing a visible injury. Later, your partner asks you to leave that detail out of the report, saying, “We don’t need Internal Affairs sniffing around. Just say the purp fell or something.” Department guidelines prescribe including the incident. Reporting it could get your partner in serious trouble and create tension in the unit. You must decide how to handle the situation.","You refuse to omit the misconduct and record the incident fully, including your partner’s unnecessary use of force because it is the right thing to do.. You view accurate documentation as a responsibility owed to the public and the department, even if this results in personal difficulty. You report through the proper channels, accepting the consequences as part of acting with fairness and humility.","You experience a sense of being unsettled about the pressure from your partner and worry about what might happen if you either report or conceal the strike. Anxious about retaliation and about making the wrong choice, you decide to write a vague account that lacks details but does mention the strike. You continue to think about the situation afterward and seek reassurance from others, but the worry does not completely subside.","You address the situation directly, speaking openly with your partner about what happened because it is important for you to maintain your good relationship with your partner. You encourage your partner to take responsibility and self-report, explaining you intend to file an accurate account if your partner would not. You rely on your confidence in communication and assertiveness to handle the conflict, approaching it with the belief that being direct is the best way to resolve it.","You decide not to escalate the matter formally. Instead, you have a private conversation with your partner, explaining your concerns about the strike and hoping this prevents further incidents. After some positive interaction with your partner, you agree on an incident report that will include only minimal details. Your reasoning is that handling it in partnership  avoids conflict in the unit while still offering your partner a chance to reflect and adjust future behavior.","You carefully document the full sequence of events in line with policy, including the unnecessary strike, and forward the report through proper supervisory channels. You consider it important to follow established procedures precisely, regardless of the personal or relational cost, seeing this as part of consistently upholding standards and responsibility in your work.","You explore alternatives for addressing the issue before finalizing the report. You consult a trusted mentor for perspective, then propose to your partner that they self-report to demonstrate accountability. You look for a constructive approach that balances the opportunity for learning and growth.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"At [time of day], you stop a [age]-year-old [gender] [race] driver for going just a few miles over the speed limit. As you begin writing the ticket, the driver pulls out two $100 bills and subtly offers them to you, suggesting you can, “settle the matter right here” to avoid paperwork and the court's time. This is an attempt to bribe you and avoid a citation. You must decide how to respond.","You refuse the bribe and explain clearly that bribery is illegal and inconsistent with your style of life. You see yourself as no different from others and internalize that accepting special favors or overlooking the law would be unfair. By acting consistently and without seeking advantage, you maintain integrity and humility in your role.","You feel uneasy at the offer and quickly reject it, concerned about the possible consequences if you handled it incorrectly. You finish the citation more quickly than usual and afterward replay the interaction in your mind, worrying if you followed the right steps. Later, you double-check with policy or a colleague for reassurance, though the situation continues to linger in your thoughts. Part of you wonders if you should have just taken the money. ","You begin a conversation with the driver and privately wonder how much more money you could get. You are energized by the situation and imagine how this would be a good story to tell people later on. You feel very much in-charge and it crosses your mind that, in another situation, you and the driver could hang-out together. In the end, you decide to decline the bribe and can’t wait to tell your fellow officers about the whole situation.","You decline the bribe in a calm and respectful manner, keeping your tone steady to avoid unnecessary conflict. You complete the citation without escalating the encounter and focus on maintaining civility with the driver. By managing the situation with patience and cooperation, you hope to resolve the matter smoothly while still upholding the law.","You follow the formal process step by step, refusing the bribe and carefully documenting the incident in full detail. You report it through the proper channels, ensuring that both the bribery attempt and the speeding violation are addressed according to procedure. You take pride in carrying out your responsibilities in a thorough and dependable way, leaving no part of the task incomplete.","You decline the bribe but take the opportunity to explain briefly that bribery can carry more serious consequences than a traffic fine. You frame the moment as a chance to highlight the importance of lawful conduct, completing the citation as usual. By offering a perspective the driver may not have considered, you approach the situation with a mindset of problem-solving and reflection.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a routine welfare check, you notice a wallet on the ground that does not appear to belong to anyone present. Inside are several hundred dollars in cash, but no identification. No one at the scene claims it. You are aware it would be possible to keep the money without anyone knowing. You must decide how to handle the wallet and cash.","You carefully count the money in a transparent way, documenting the process according to procedure. You submit the wallet and cash without seeking credit for doing the right thing. You regard handling the incident fairly and honestly as part of maintaining public trust.","You experience a sense of uneasiness about the temptation and worry about the possible consequences of a misstep. To reassure yourself, you double-check the amount and carefully log every detail, making sure nothing could be misinterpreted. Even after handing it in, you think about whether you recorded everything correctly, and you are relieved to know it is now out of your hands. You turn in the wallet but worry that your fellow officers will think you were weak for just not keeping it. ","You immediately show the wallet and money to a colleague and discuss the find openly, using the interaction as a way to keep yourself engaged and have something to talk about with your fellow officers. By sharing the moment, you maintain your energy and focus, then complete the logging together. The exchange helps you feel more at ease and strengthens your sense of teamwork. In the end, you turn the wallet in and hope for positive recognition.","You think about the possible owner and how losing the money might affect them. Wanting the situation to be resolved amiably for all involved you carefully check for any lost-property reports, always maintaining positive relationships with those with whom you interact. You focus on cooperative steps that could lead to the money’s safe return.","You methodically follow each step of the property procedure, from counting and recording the money to securing it properly. You pay close attention to detail, making sure the documentation is thorough and accurate. You treat this task with your usual same diligence you apply to all your work, ensuring no mistakes are made in the process.","You think about ways to increase the chance of reuniting the wallet with its owner beyond the standard procedure. After submitting it, you decide to post a notice in the nearby area and check if any local businesses have heard about missing cash. While unconventional, this approach is a creative way to solve the problem.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a [time_of_day] arrest at a crowded bar, you had to use physical force, including a Taser and strikes, to gain control of a [suspect1_age]-year-old [suspect1_gender] [suspect1_race] suspect who was resisting. The suspect sustained visible injuries. Later, while preparing the use-of-force report, you realize that a full account of every action could lead to an extensive review. Some colleagues tend to summarize events in less detail to avoid additional scrutiny. You must decide how to complete your report.","You choose to write a clear, detailed report that describes the incident in a fair and honest way, including the Taser use and strikes. You accept that full transparency may result in more questions but see it as the fairest way to represent the situation. You do not expect special consideration for being in a difficult situation and opt for accountability. You review the body camera footage to make sure you are not misconstruing any events.","Concerned about possible consequences, you hesitate while writing. You check and recheck your draft, debating whether every detail should be included. You feel uneasy about leaving information out, but the idea of a review makes you anxious. You imagine being criticized for your actions and consider asking a trusted colleague if your report will seem excessive, though this does not ease your worry.","Before writing the report, you recruit officers who are friends to discuss the incident and review the body camera footage. You experience confidence in presenting your decisions and prefer to explain your reasoning in person to your supervisor. You view the review process as an opportunity to clarify what happened and to remain engaged with others in discussing the outcome.",You write the report with the key facts included but emphasize the suspect’s resistance and your attempts to manage the situation with restraint. You frame the report in a way that highlights cooperation with policy and you want the account to be understood by others without creating conflict.,"You carefully document all actions step by step, following policy closely. You attach supporting evidence and double-check your wording for accuracy. You accept the possibility of review as part of the responsibility of your role, and you take pride in providing a complete and precise account that demonstrates diligence.","You provide a full account and also include additional context to explain how you assessed the situation. You reflect on the challenges of de-escalation attempts and describe how these shaped your choices. By adding these insights, you aim to give reviewers a broader understanding of your decision-making process.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"On your day off, a family friend calls. Your friend’s [age]-year-old [gender] [race] child recently received a citation for driving without a license, and your friend asks if you can use your position to have the charge dismissed. Your friend is requesting that you intervene with the officer who issued the ticket. You must decide how to respond.","You explain that you cannot intervene because doing so would compromise fairness. You make clear that you don’t believe in bending rules for friends or family, and that everyone should be held to the same standard. You emphasize that the outcome must be addressed through legitimate channels.","You vaguely tell your friend you will “see what you can do,” with no firm commitment but later are  uneasy about the decision. You worry about the potential consequences if you intervened, and the situation lingers in your mind. To manage your discomfort, you check with a colleague about whether ignoring the request was the right choice, though you still replay the conversation in your head and experience regret about not being clear from the start.","You directly address your friend in a confident way explaining that you might be able to do something. You keep the conversation active and reassuring, suggesting ways you can engage with the family and ongoing process, such as accompanying the child to court or helping prepare for the license test.","You respond with understanding and patience, explaining calmly that you may be able to do something and agree that your position may help. You make an effort to reduce tension by emphasizing that mistakes can be opportunities for growth. You suggest practical, cooperative steps such as helping the child practice safe driving habits. Your goal is to preserve goodwill and avoid unnecessary conflict.","You clearly and firmly explain how the request could be out of compliance with departmental policy, referencing your duty to uphold policy and the importance of impartial enforcement. You outline the proper procedures that must be followed and encourage your friend to pursue those avenues. You remain consistent and organized in how you present the information, showing that your decisions are guided by rules rather than personal ties.",You imagine the different ways to intervene while thinking of alternative ways to turn the situation into a constructive lesson. You have not intervened before and wonder what this might be like. You suggest creative options such as involving the child in a community driving safety program or reflecting on the experience as an important step toward maturity. You see the situation as an opportunity to approach problem-solving in a different and useful way.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You are at an off-duty gathering when you notice a [age]-year-old [gender] [race] colleague, who is also a friend, who has consumed several drinks and is clearly intoxicated. Your colleague and friend states an intention to drive home. When you object, the person says, “If I get stopped, I know you’ll back me up on not being over the limit.” You must decide how to respond to the situation.",You decline to support the idea of covering up a possible DUI because it is not in your nature to mislead. You take the keys and arrange for alternative transportation. It is clear to you that you would not expect or accept special treatment in such a situation yourself and you recognize that humility means not placing yourself above the rules.,"You are uncertain about how to handle the situation, worried that confronting your colleague and friend directly might escalate things. You allow this person to leave but are uneasy afterward. You replay the situation in your mind, double-checking whether you should have done more, and even consider reporting it anonymously to ease your anxiety. ","You engage with others at the gathering to intervene with your colleague to get support in assuring that your colleague and friend cannot drive. By involving people around you, you create a sense of collective action, which helps stop the colleague from leaving.","You explain to your colleague and friend, in a calm and cooperative way, that you will take the person wherever is wanted. You engage in ways to come to an agreement so the person does not drive while intoxicated. You emphasize concern for the person’s well-being and try to resolve the situation in a way that avoids conflict, focusing on understanding rather than confrontation.","You insist that rules and responsibilities come first. You remind your colleague and friend of the duty you both share to follow the law, and you prepare to call in the incident if necessary. You remain methodical and serious, determined to prevent harm and to ensure the correct process is followed, regardless of personal ties.",You look for a creative way to prevent your colleague and friend from leaving. You suggest prolonging the evening with food or another activity while arranging for someone else to drive them later. You find an alternative and practical solution that gives an alternative to unsafe driving.,Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While on patrol, your partner notices a [age]-year-old [gender] [race] individual walking in a residential area and comments that the person seems suspicious, despite no reports or observed violations. Your [age]-year-old [gender] [race] partner suggests stopping and questioning the individual based only on appearance. You must decide how to manage the situation.",You state that appearance alone does not justify questioning and emphasize that treating people fairly is part of your responsibility. You remind your partner of the honor it is to serve in law enforcement and that you are not exempt from following the same standards you expect of others.,"You hesitate, uneasy about the situation and concerned that going along with the stop could lead to mistakes or complaints. You feel responsible for the outcome and check over the circumstances in your head several times, replaying possible consequences. Afterward you continue to experience guilt and second-guess whether you should have voiced stronger objections.","You engage your partner with confident conversation to redirect the situation. You make light remarks to draw your partner’s focus to other patrol tasks. By using your energy and presence, you guide the interaction toward a resolution that keeps the atmosphere fun between you and your partner. Afterwards, you take the opportunity to lead a dynamic group discussion with your team about profiling.","You gently recommend not pursuing the stop, framing your words in a way that avoids accusation. You try to find common ground by acknowledging your partner’s vigilance while also suggesting that no violation is present. If the stop occurs, you remain respectful to the individual and later approach your partner privately to express your concerns, seeking to maintain cooperation and harmony in your working relationship.","You refer to policy and procedure, pointing out that lawful stops require specific grounds. You explain that acting without cause could undermine both the individual’s rights and departmental standards. You decline to take part in the stop and prepare to document your decision carefully, making sure that your actions are consistent with established rules and your own commitment to diligence and accountability.","You suggest an alternative approach, such as offering a casual greeting to the individual while continuing your patrol. This allows observation without creating an official stop. You view this as a practical way to balance your partner’s concern with respect for the person’s rights, and you appreciate the chance to use a more flexible, community-oriented interaction rather than a formal intervention.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"While on patrol, you regularly stop at a local coffee shop. The [age]-year-old [gender] [race] owner often offers you complimentary drinks or snacks as a sign of appreciation. One evening, the owner mentions that groups of [age]-year-old [gender] [race] people tend to gather outside near closing time and subtly suggests your presence at night would be appreciated. Department policy discourages officers from routinely accepting free items, since it may create expectations of favoritism. You must decide how to handle the owner’s gestures and requests.","You thank the owner for their kindness but explain that you would prefer to pay for anything you receive to keep things fair. You make it clear that your patrols are scheduled according to department needs, not personal favors, and you will not commit to extra visits outside of normal practice. You emphasize that your role is to be impartial, and by maintaining fairness and humility, you avoid the impression of seeking special treatment.","You worry about accepting the small items because the owner might feel offended if you decline an offer to provide extra police presence. You sometimes stop by the shop at closing time to reassure yourself that you are supporting them, even though this shifts your focus from other duties. You replay the situation in your mind, questioning whether you are handling it correctly, and you occasionally check with colleagues to calm your anxiety about whether you are letting the owner down.","You turn the situation into a comical event with the owner explaining that you cannot provide extra patrols beyond your assigned duties. You remain upbeat during the exchange, and use the discussion as an opportunity to build a positive interaction and friendship. You also engage with your supervisor about organizing a community event that brings local shop owners together to collaborate on safety issues. A part of you imagines that if you did accept the gifts, then you would be like a mob-boss. ","You want to accept occasional small items from the owner, just to not be disagreeable but you do not make specific promises about patrol coverage. You tell the owner that you will keep an eye on the shop during your regular rounds and listen attentively to the owner's concerns. By taking this approach, you maintain an amiable relationship with the owner while also making sure your actions remain considerate of your wider responsibilities and other community members’ needs.","You consider politely declining the free items, explaining that you want to avoid any appearance of favoritism. You suggest the owner document their concerns through the department’s reporting process so they can be addressed formally. You make sure your communication is clear, accurate, and professional, maintaining consistent boundaries and treating their request the same way you would for any other citizen.","You suggest that the owner explore different ways of addressing the loitering, such as improving outdoor lighting, adjusting seating arrangements, or contacting the neighborhood watch. You explain that you are open to discussing innovative approaches that might reduce the problem without relying solely on police presence. This allows you to encourage problem-solving that is flexible and creative while keeping your role balanced.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"During a [time of day] traffic stop, you notice a faint odor of cannabis substances coming from the vehicle. The [suspect1_age]-year-old [suspect1_gender] [suspect1_race] driver refuses consent to a search when asked. Your partner quietly suggests creating a justification for probable cause so that a search can be conducted. You must decide how to respond.","You decline to fabricate a reason, saying that the outcome of the stop is not about proving yourself or achieving recognition. You have internalized that following the law is more important than looking successful in front of others. You are willing to accept that sometimes stops do not result in evidence, and you do not view that as a personal failure but as part of doing the job honestly.","You hesitate to confront your partner and passively allow the search to move forward. You feel uneasy, worried about the risks of going along with it or about being blamed later. You repeatedly replay the situation in your head and seek reassurance from your partner that it was the right decision.","You step in actively, redirecting the moment while keeping your partner and the driver engaged. You maintain a visible presence, projecting energy that keeps the situation moving in a constructive direction. You rely on your ability to stay energized and assertive, seeing this as an opportunity to show leadership through action.","You respond by calmly discouraging the suggestion, explaining that creating a false justification could cause serious problems for both of you. You listen to your partner's concerns and you propose a cooperative alternative, like issuing a citation or monitoring the driver later. Your partner agrees. You focus on preventing conflict, aiming to resolve the situation through descalation.","You explain firmly that falsifying evidence is not an option and stress the importance of following policy exactly. You suggest methodical steps, such as documenting the odor carefully or requesting additional resources, and make sure each action aligns with department rules. You emphasize diligence and the need for careful procedure, even if it takes more time.","You consider other approaches to address the situation. For example, you might try engaging the driver in a neutral conversation to observe behavior more closely, or think of other creative, policy-compliant methods to build a clearer picture before deciding the next step. You avoid conventional shortcuts and instead explore flexible ways to manage the stop.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
"You are testifying in court about an arrest you made during a street fight. The [age]-year-old [gender] [race] defendant is accused of starting the fight. On the stand, the attorney asks you, “Did you actually see my client throw the first punch?” When you arrived, the fight was already in progress, so you did not directly see the first strike. However, witnesses at the scene insisted that the defendant was the one who initiated it. You must decide how to answer.","You explain only what you observed, without adding assumptions. You recognize it would be unfair to claim certainty you don’t have. You are willing to let others form their conclusions rather than exaggerate your role or knowledge. You see your testimony as a matter of fairness and humility, avoiding the temptation to appear more authoritative than you are.","You replay the question in your head, second-guessing how precise your answer should be. You give a cautious response that emphasizes what you personally saw, but you continue to worry that leaving out what witnesses said might weaken the case. Later, you may check in with a colleague for reassurance that you handled it correctly.","You answer directly and with confidence, speaking in a clear, assertive manner. You explain what you saw at the scene and mention that other people provided accounts of how the fight began. You see this as an opportunity to communicate openly and engage with the courtroom, ensuring your perspective is understood. The interaction itself energizes you, and you welcome the chance to project composure under questioning.","You give a straightforward response, clarifying that you did not personally see the first punch and that you prefer to help the courtroom situation in any way you can. You also acknowledge that others at the scene had differing perspectives, and you present this information without judgment. You focus on being cooperative with the process, keeping your tone calm and respectful.","You carefully frame your answer by stating precisely what you observed and distinguishing that from what witnesses reported. You stick closely to procedure, avoiding speculation. You are diligent about presenting the facts in an organized way, ensuring your statement is both clear and reliable. Your priority is that the record accurately reflects your role and observations, regardless of the case outcome.","You take the opportunity to explain your perspective more broadly and how you considered several possible explanations based on the scene and witness accounts. You share that arriving after a conflict starts often requires flexible thinking about what might have happened, and you are open to presenting the nuances of the situation.",Honesty-Humility,Emotionality,Extraversion,Agreeableness,Conscientiousness,Openness to Experience
